"Stop name","City"
"Abrahama","Gdańsk"
"Agrarna","Gdańsk"
"Akademia Muzyczna","Gdańsk"
"Aksamitna","Gdańsk"
"al. Hallera","Gdańsk"
"al. Płażyńskiego","Gdańsk"
"AmberExpo","Gdańsk"
"Amundsena","Gdańsk"
"Andruszkiewicza","Gdańsk"
"Archikatedra Oliwska","Gdańsk"
"Arctowskiego","Gdańsk"
"Astronautów","Gdańsk"
"Bajana","Gdańsk"
"Bajki","Gdańsk"
"Banino Borowiecka","Gdańsk"
"Banino Pszenna","Gdańsk"
"Banino Szkoła","Gdańsk"
"Barniewicka","Gdańsk"
"Baśniowa","Gdańsk"
"Baza Manipulacyjna","Gdańsk"
"Bażyńskiego","Gdańsk"
"BCB Azymutalna","Gdańsk"
"Belgradzka","Gdańsk"
"Bema","Gdańsk"
"Beniowskiego","Gdańsk"
"Benzynowa","Gdańsk"
"Biała","Gdańsk"
"Biały Dwór","Gdańsk"
"Biblioteka Główna UG","Gdańsk"
"Biwakowa","Gdańsk"
"Bluszczowa","Gdańsk"
"Błonia","Gdańsk"
"Bobrowa","Gdańsk"
"Bogatka I","Gdańsk"
"Bogatka II","Gdańsk"
"Bogatka III","Gdańsk"
"Boguckiego","Gdańsk"
"Bora Komorowskiego","Gdańsk"
"Borska","Gdańsk"
"Botaniczna","Gdańsk"
"Brama Nizinna","Gdańsk"
"Brama Oliwska","Gdańsk"
"Brama Wyżynna","Gdańsk"
"Brama Żuławska","Gdańsk"
"Bratki","Gdańsk"
"Brętowo PKM","Gdańsk"
"Brodnicka","Gdańsk"
"Brzeźno","Gdańsk"
"Brzeźno Plaża","Gdańsk"
"Buczka","Gdańsk"
"Budapesztańska","Gdańsk"
"Budowlanych","Gdańsk"
"Budzysza","Gdańsk"
"Bursztynowa","Gdańsk"
"Bysewo","Gdańsk"
"Cebertowicza","Gdańsk"
"Cedrowa","Gdańsk"
"Centrostal","Gdańsk"
"Centrum Hevelianum","Gdańsk"
"Centrum Medycyny Inwazyjnej","Gdańsk"
"Centrum Nadawcze RTV","Gdańsk"
"Centrum Onkologii","Gdańsk"
"Chałubińskiego","Gdańsk"
"Charpentiera","Gdańsk"
"Chełm - Więckowskiego","Gdańsk"
"Chełm Cienista","Gdańsk"
"Chełm Witosa","Gdańsk"
"Chłodna","Gdańsk"
"Chłopska","Gdańsk"
"Chmielna","Gdańsk"
"Chodowieckiego","Gdańsk"
"Chrobrego","Gdańsk"
"Chrzanowskiego","Gdańsk"
"Chwaszczyno","Gdańsk"
"Chwaszczyno Gdyńska","Gdańsk"
"Chwaszczyno Oliwska","Gdańsk"
"Chwaszczyno Szmaragdowa","Gdańsk"
"Chwaszczyno Wiejska","Gdańsk"
"Ciasna","Gdańsk"
"Cieszyńskiego","Gdańsk"
"Ciołkowskiego","Gdańsk"
"Cmentarna","Gdańsk"
"Cmentarz Garnizonowy","Gdańsk"
"Cmentarz Łostowicki","Gdańsk"
"Cmentarz Oliwski","Gdańsk"
"Cmentarz Srebrzysko","Gdańsk"
"Cygańska Góra","Gdańsk"
"Cystersów","Gdańsk"
"Czarny Dwór","Gdańsk"
"Czermińskiego","Gdańsk"
"Czerwony Dwór","Gdańsk"
"Czyżewskiego","Gdańsk"
"Damroki","Gdańsk"
"Dąbrowszczaków","Gdańsk"
"De Plelo","Gdańsk"
"Derdowskiego","Gdańsk"
"Dębinki","Gdańsk"
"Dickensa","Gdańsk"
"Długi Targ","Gdańsk"
"Dobra","Gdańsk"
"Dobrowolskiego","Gdańsk"
"Dolna","Gdańsk"
"Dolne Miasto","Gdańsk"
"Dolne Młyny","Gdańsk"
"Dom Fahrenheita","Gdańsk"
"Dom Pomocy Społecznej","Gdańsk"
"Domeyki","Gdańsk"
"Dragana - Kładka","Gdańsk"
"Dragana - Szkoła","Gdańsk"
"Droszyńskiego","Gdańsk"
"Drwęcka","Gdańsk"
"Drzewieckiego","Gdańsk"
"Dulkowa","Gdańsk"
"Dworska","Gdańsk"
"Dworzec Główny","Gdańsk"
"Dworzec PKS","Gdańsk"
"Dwór Ferberów","Gdańsk"
"Dywizjonu 303","Gdańsk"
"Elbląska","Gdańsk"
"Elfów","Gdańsk"
"Elmet","Gdańsk"
"Emaus","Gdańsk"
"Fabryczna","Gdańsk"
"Falista","Gdańsk"
"Falowa","Gdańsk"
"Firoga","Gdańsk"
"Focha","Gdańsk"
"Forsycji","Gdańsk"
"Fundamentowa","Gdańsk"
"Galaktyczna","Gdańsk"
"Galeria Bałtycka","Gdańsk"
"Gdańska","Gdańsk"
"Gdynia Anyżowa","Gdańsk"
"Gdynia Dąbrowa Centrum","Gdańsk"
"Gdynia Giełda Towarowa","Gdańsk"
"Gdynia Kameliowa","Gdańsk"
"Gdynia Karwiny PKM","Gdańsk"
"Gdynia Karwiny Tesco","Gdańsk"
"Gdynia Myśliwska","Gdańsk"
"Gdynia Nałkowskiej","Gdańsk"
"Gdynia Paprykowa","Gdańsk"
"Gdynia Rdestowa - Chwaszczyńska","Gdańsk"
"Gdynia Rdestowa - Leśny Zakątek","Gdańsk"
"Gdynia Starochwaszczyńska","Gdańsk"
"Gdynia Szafranowa","Gdańsk"
"Gdynia Wiczlińska","Gdańsk"
"Gdynia Źródło Marii","Gdańsk"
"Gęsia","Gdańsk"
"Głęboka","Gdańsk"
"Głucha","Gdańsk"
"Gospody","Gdańsk"
"Gostyńska Szpital","Gdańsk"
"Gościnna","Gdańsk"
"Góralska","Gdańsk"
"Górecka","Gdańsk"
"Górki Wschodnie","Gdańsk"
"Górki Zachodnie","Gdańsk"
"Górskiego","Gdańsk"
"Grabowskiego","Gdańsk"
"Gronostajowa","Gdańsk"
"Grudziądzka","Gdańsk"
"Grunwaldzka","Gdańsk"
